"Date Added","Voucher Code",Vendor,SKU,Title,Amount
2017-05-11,513680R,"DATAN INC",APL-001-2136,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - White",20.9900
2017-05-11,513761R,"Alfie (Incoming)",SRN-SAM-1425,"LCD and Touch Screen Digitizer for Samsung Galaxy S7 G930 - Gold Platinum",129.9900
2017-05-11,504986R,"Alfie (Incoming)",APL-001-2089,"LCD and Touch Screen Digitizer Assembly for iPhone 5C - Black (Premium)",25.9900
2017-05-11,482423R-1i,"Alfie (Incoming)",APL-001-1240,"LCD and Touch Screen Digitizer Assembly for iPhone 6 White (Standard)",16.9900
2017-05-11,513268R-aF,"DATAN INC",APL-001-2136,"LCD Touch Screen Digitizer Assembly for iPhone 6 Plus (Economy Plus) - White",20.9900
2017-05-11,511902R,"DATAN INC",APL-001-2308,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - Black",16.9900
2017-05-11,508474R,"DATAN INC",APL-001-0732,"LCD and Touch Screen Digitizer Assembly for iPhone 5C (Economy Plus) - Black",11.9900
2017-05-11,509434R-Z3,"Calvin LCT",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",26.9900
2017-05-11,509434R-Z3,"Calvin LCT",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",26.9900
2017-05-11,508127R-Uo,"Calvin LCT",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",26.9900
2017-05-11,511218R,"DATAN INC",APL-001-2308,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - Black",16.9900
2017-05-11,511218R,"DATAN INC",APL-001-2308,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - Black",21.9900
2017-05-11,513903R,"Alfie (Incoming)",SRN-SAM-224,"Galaxy S4 i9500 i9505 i337 i545 L720 M919 R970 LCD + Touch Screen Digitizer  - Black Mist",67.9900
2017-05-11,513905R,Lanwell,APL-001-2309,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - White",16.9900
2017-05-11,512576R,"DATAN INC",APL-001-2298,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - Black",26.9900
2017-05-11,510493R,"DATAN INC",APL-001-0732,"LCD and Touch Screen Digitizer Assembly for iPhone 5C (Economy Plus) - Black",11.9900
2017-05-11,510493R,"DATAN INC",APL-001-0732,"LCD and Touch Screen Digitizer Assembly for iPhone 5C (Economy Plus) - Black",11.9900
2017-05-11,510493R,"DATAN INC",APL-001-2309,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - White",16.9900
2017-05-11,510493R,"DATAN INC",APL-001-2309,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - White",16.9900
2017-05-11,510535R,"DATAN INC",APL-001-0730,"LCD and Touch Screen Digitizer Assembly for iPhone 5S (Economy Plus) - Black",11.9900
2017-05-11,510535R,"DATAN INC",APL-001-0728,"LCD and Touch Screen Digitizer Assembly for iPhone 5S (Economy Plus) - White",11.9900
2017-05-11,513268R,"DATAN INC",APL-001-2308,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - Black",16.9900
2017-05-11,508127R-B7,"DATAN INC",APL-001-2308,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - Black",16.9900
2017-05-11,508127R-B7,"DATAN INC",APL-001-2309,"LCD Touch Screen Digitizer Assembly for iPhone 6 (Economy Plus) - White",16.9900
2017-05-11,508127R-B7,"Calvin LCT",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",26.9900
2017-05-11,508127R-B7,"Calvin LCT",APL-001-2299,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - White",26.9900
2017-05-11,508127R-B7,"Calvin LCT",APL-001-2298,"iPhone 6S LCD and Touch Screen Digitizer - Economy Plus - Black",26.9900
